fuel-type,engine-location,engine-type,horsepower,peak-rpm,city-mpg,highway-mpg,price
gas,front,dohc,111,5000,21,27,13495
gas,front,dohc,111,5000,21,27,16500
gas,front,ohcv,154,5000,19,26,16500
gas,front,ohc,102,5500,24,30,13950
gas,front,ohc,115,5500,18,22,17450
gas,front,ohc,110,5500,19,25,15250
gas,front,ohc,110,5500,19,25,17710
gas,front,ohc,110,5500,19,25,18920
gas,front,ohc,140,5500,17,20,23875
gas,front,ohc,160,5500,16,22,?
gas,front,ohc,101,5800,23,29,16430
gas,front,ohc,101,5800,23,29,16925
gas,front,ohc,121,4250,21,28,20970
gas,front,ohc,121,4250,21,28,21105
gas,front,ohc,121,4250,20,25,24565
gas,front,ohc,182,5400,16,22,30760
gas,front,ohc,182,5400,16,22,41315
gas,front,ohc,182,5400,15,20,36880
gas,front,l,48,5100,47,53,5151
gas,front,ohc,70,5400,38,43,6295
gas,front,ohc,70,5400,38,43,6575
gas,front,ohc,68,5500,37,41,5572
gas,front,ohc,68,5500,31,38,6377
gas,front,ohc,102,5500,24,30,7957
gas,front,ohc,68,5500,31,38,6229
gas,front,ohc,68,5500,31,38,6692
gas,front,ohc,68,5500,31,38,7609
gas,front,ohc,102,5500,24,30,8558
gas,front,ohc,88,5000,24,30,8921
gas,front,ohc,145,5000,19,24,12964
gas,front,ohc,58,4800,49,54,6479
gas,front,ohc,76,6000,31,38,6855
gas,front,ohc,60,5500,38,42,5399
gas,front,ohc,76,6000,30,34,6529
gas,front,ohc,76,6000,30,34,7129
gas,front,ohc,76,6000,30,34,7295
gas,front,ohc,76,6000,30,34,7295
gas,front,ohc,86,5800,27,33,7895
gas,front,ohc,86,5800,27,33,9095
gas,front,ohc,86,5800,27,33,8845
gas,front,ohc,86,5800,27,33,10295
gas,front,ohc,101,5800,24,28,12945
gas,front,ohc,100,5500,25,31,10345
gas,front,ohc,78,4800,24,29,6785
gas,front,ohc,70,5400,38,43,?
gas,front,ohc,70,5400,38,43,?
gas,front,ohc,90,5000,24,29,11048
gas,front,dohc,176,4750,15,19,32250
gas,front,dohc,176,4750,15,19,35550
gas,front,ohcv,262,5000,13,17,36000
gas,front,ohc,68,5000,30,31,5195
gas,front,ohc,68,5000,31,38,6095
gas,front,ohc,68,5000,31,38,6795
gas,front,ohc,68,5000,31,38,6695
gas,front,ohc,68,5000,31,38,7395
gas,front,ohc,84,4800,26,32,8845
gas,front,ohc,84,4800,26,32,8495
gas,front,ohc,84,4800,26,32,10595
gas,front,ohc,84,4800,26,32,10245
diesel,front,ohc,64,4650,36,42,10795
gas,front,ohc,84,4800,26,32,11245
gas,front,ohc,120,5000,19,27,18280
diesel,front,ohc,72,4200,31,39,18344
diesel,front,ohc,123,4350,22,25,25552
diesel,front,ohc,123,4350,22,25,28248
diesel,front,ohc,123,4350,22,25,28176
diesel,front,ohc,123,4350,22,25,31600
gas,front,ohcv,155,4750,16,18,34184
gas,front,ohcv,155,4750,16,18,35056
gas,front,ohcv,184,4500,14,16,40960
gas,front,ohcv,184,4500,14,16,45400
gas,front,ohc,175,5000,19,24,16503
gas,front,ohc,68,5500,37,41,5389
gas,front,ohc,68,5500,31,38,6189
gas,front,ohc,68,5500,31,38,6669
gas,front,ohc,102,5500,24,30,7689
gas,front,ohc,116,5500,23,30,9959
gas,front,ohc,88,5000,25,32,8499
gas,front,ohc,145,5000,19,24,12629
gas,front,ohc,145,5000,19,24,14869
gas,front,ohc,145,5000,19,24,14489
gas,front,ohc,88,5000,25,32,6989
gas,front,ohc,88,5000,25,32,8189
gas,front,ohc,116,5500,23,30,9279
gas,front,ohc,116,5500,23,30,9279
gas,front,ohc,69,5200,31,37,5499
diesel,front,ohc,55,4800,45,50,7099
gas,front,ohc,69,5200,31,37,6649
gas,front,ohc,69,5200,31,37,6849
gas,front,ohc,69,5200,31,37,7349
gas,front,ohc,69,5200,31,37,7299
gas,front,ohc,69,5200,31,37,7799
gas,front,ohc,69,5200,31,37,7499
gas,front,ohc,69,5200,31,37,7999
gas,front,ohc,69,5200,31,37,8249
gas,front,ohc,97,5200,27,34,8949
gas,front,ohc,97,5200,27,34,9549
gas,front,ohcv,152,5200,17,22,13499
gas,front,ohcv,152,5200,17,22,14399
gas,front,ohcv,152,5200,19,25,13499
gas,front,ohcv,160,5200,19,25,17199
gas,front,ohcv,200,5200,17,23,19699
gas,front,ohcv,160,5200,19,25,18399
gas,front,l,97,5000,19,24,11900
diesel,front,l,95,4150,28,33,13200
gas,front,l,97,5000,19,24,12440
diesel,front,l,95,4150,25,25,13860
gas,front,l,95,5000,19,24,15580
diesel,front,l,95,4150,28,33,16900
gas,front,l,95,5000,19,24,16695
diesel,front,l,95,4150,25,25,17075
gas,front,l,97,5000,19,24,16630
diesel,front,l,95,4150,28,33,17950
gas,front,l,142,5600,18,24,18150
gas,front,ohc,68,5500,37,41,5572
gas,front,ohc,102,5500,24,30,7957
gas,front,ohc,68,5500,31,38,6229
gas,front,ohc,68,5500,31,38,6692
gas,front,ohc,68,5500,31,38,7609
gas,front,ohc,88,5000,24,30,8921
gas,front,ohc,145,5000,19,24,12764
gas,front,ohc,143,5500,19,27,22018
gas,rear,ohcf,207,5900,17,25,32528
gas,rear,ohcf,207,5900,17,25,34028
gas,rear,ohcf,207,5900,17,25,37028
gas,front,dohcv,288,5750,17,28,?
gas,front,ohc,110,5250,21,28,11850
gas,front,ohc,110,5250,21,28,12170
gas,front,ohc,110,5250,21,28,15040
gas,front,ohc,110,5250,21,28,15510
gas,front,dohc,160,5500,19,26,18150
gas,front,dohc,160,5500,19,26,18620
gas,front,ohcf,69,4900,31,36,5118
gas,front,ohcf,73,4400,26,31,7053
gas,front,ohcf,73,4400,26,31,7603
gas,front,ohcf,82,4800,32,37,7126
gas,front,ohcf,82,4400,28,33,7775
gas,front,ohcf,94,5200,26,32,9960
gas,front,ohcf,82,4800,24,25,9233
gas,front,ohcf,111,4800,24,29,11259
gas,front,ohcf,82,4800,28,32,7463
gas,front,ohcf,94,5200,25,31,10198
gas,front,ohcf,82,4800,23,29,8013
gas,front,ohcf,111,4800,23,23,11694
gas,front,ohc,62,4800,35,39,5348
gas,front,ohc,62,4800,31,38,6338
gas,front,ohc,62,4800,31,38,6488
gas,front,ohc,62,4800,31,37,6918
gas,front,ohc,62,4800,27,32,7898
gas,front,ohc,62,4800,27,32,8778
gas,front,ohc,70,4800,30,37,6938
gas,front,ohc,70,4800,30,37,7198
diesel,front,ohc,56,4500,34,36,7898
diesel,front,ohc,56,4500,38,47,7788
gas,front,ohc,70,4800,38,47,7738
gas,front,ohc,70,4800,28,34,8358
gas,front,ohc,70,4800,28,34,9258
gas,front,ohc,70,4800,29,34,8058
gas,front,ohc,70,4800,29,34,8238
gas,front,dohc,112,6600,26,29,9298
gas,front,dohc,112,6600,26,29,9538
gas,front,ohc,116,4800,24,30,8449
gas,front,ohc,116,4800,24,30,9639
gas,front,ohc,116,4800,24,30,9989
gas,front,ohc,116,4800,24,30,11199
gas,front,ohc,116,4800,24,30,11549
gas,front,ohc,116,4800,24,30,17669
gas,front,ohc,92,4200,29,34,8948
diesel,front,ohc,73,4500,30,33,10698
gas,front,ohc,92,4200,27,32,9988
gas,front,ohc,92,4200,27,32,10898
gas,front,ohc,92,4200,27,32,11248
gas,front,dohc,161,5200,20,24,16558
gas,front,dohc,161,5200,19,24,15998
gas,front,dohc,156,5200,20,24,15690
gas,front,dohc,156,5200,19,24,15750
diesel,front,ohc,52,4800,37,46,7775
gas,front,ohc,85,5250,27,34,7975
diesel,front,ohc,52,4800,37,46,7995
gas,front,ohc,85,5250,27,34,8195
gas,front,ohc,85,5250,27,34,8495
diesel,front,ohc,68,4500,37,42,9495
gas,front,ohc,100,5500,26,32,9995
gas,front,ohc,90,5500,24,29,11595
gas,front,ohc,90,5500,24,29,9980
gas,front,ohc,110,5500,19,24,13295
diesel,front,ohc,68,4500,33,38,13845
gas,front,ohc,88,5500,25,31,12290
gas,front,ohc,114,5400,23,28,12940
gas,front,ohc,114,5400,23,28,13415
gas,front,ohc,114,5400,24,28,15985
gas,front,ohc,114,5400,24,28,16515
gas,front,ohc,162,5100,17,22,18420
gas,front,ohc,162,5100,17,22,18950
gas,front,ohc,114,5400,23,28,16845
gas,front,ohc,160,5300,19,25,19045
gas,front,ohcv,134,5500,18,23,21485
diesel,front,ohc,106,4800,26,27,22470
gas,front,ohc,114,5400,19,25,22625
